Date,Apple,Microsoft,Intel,IBM,Facebook,Google
2016-10-20,117.059998,57.25,35.43,151.520004,130,796.969971
2016-10-21,116.599998,59.66,35.150002,149.630005,132.070007,799.369995
2016-10-24,117.650002,61,35.259998,150.570007,133.279999,813.109985
2016-10-25,118.25,60.990002,35.099998,150.880005,132.289993,807.669983
2016-10-26,115.589996,60.630001,34.919998,151.809998,131.039993,799.070007
2016-10-27,114.480003,60.099998,34.810001,153.350006,129.690002,795.349976
2016-10-28,113.720001,59.869999,34.740002,152.610001,131.289993,795.369995
2016-10-31,113.540001,59.919998,34.869999,153.690002,130.990005,784.539978
2016-11-01,111.489998,59.799999,34.52,152.789993,129.5,783.609985
2016-11-02,111.589996,59.43,34.599998,151.949997,127.169998,768.700012
2016-11-03,109.830002,59.209999,33.93,152.369995,120,762.130005
2016-11-04,108.839996,58.709999,33.610001,152.429993,120.75,762.02002
2016-11-07,110.410004,60.419998,34.689999,155.720001,122.150002,782.52002
2016-11-08,111.059998,60.470001,34.740002,155.169998,124.220001,790.51001
2016-11-09,110.879997,60.169998,34.75,154.809998,123.18,785.309998
2016-11-10,107.790001,58.700001,34.5,160.220001,120.800003,762.559998
2016-11-11,108.43,59.02,34.610001,161.270004,119.019997,754.02002
2016-11-14,105.709999,58.119999,34.48,158.210007,115.080002,736.080017
2016-11-15,107.110001,58.869999,34.91,158.669998,117.199997,758.48999
2016-11-16,109.989998,59.650002,34.84,159.289993,116.339996,764.47998
2016-11-17,109.949997,60.639999,35.02,159.800003,117.790001,771.22998
2016-11-18,110.059998,60.349998,34.950001,160.389999,117.019997,760.539978
2016-11-21,111.730003,60.860001,34.98,162.770004,121.769997,769.200012
2016-11-22,111.800003,61.119999,35.48,162.669998,121.470001,768.27002
2016-11-23,111.230003,60.400002,35.200001,161.979996,120.839996,760.98999
2016-11-25,111.790001,60.529999,35.439999,163.139999,120.379997,761.679993
2016-11-28,111.57,60.610001,35.509998,164.520004,120.410004,768.23999
2016-11-29,111.459999,61.09,35.310001,163.529999,120.870003,770.840027
2016-11-30,110.519997,60.259998,34.700001,162.220001,118.419998,758.039978
2016-12-01,109.489998,59.200001,33.759998,159.820007,115.099998,747.919983
2016-12-02,109.900002,59.25,34.16,160.020004,115.400002,750.5
2016-12-05,109.110001,60.220001,34.389999,159.839996,117.43,762.52002
2016-12-06,109.949997,59.950001,34.720001,160.350006,117.309998,759.109985
2016-12-07,111.029999,61.369999,35.5,164.789993,117.949997,771.190002
2016-12-08,112.120003,61.009998,35.700001,165.360001,118.910004,776.419983
2016-12-09,113.949997,61.970001,35.759998,166.520004,119.68,789.289978
2016-12-12,113.300003,62.169998,35.970001,165.5,117.769997,789.27002
2016-12-13,115.190002,62.98,36.799999,168.289993,120.309998,796.099976
2016-12-14,115.190002,62.68,36.549999,168.509995,120.209999,797.070007
2016-12-15,115.82,62.580002,36.790001,168.020004,120.57,797.849976
2016-12-16,115.970001,62.299999,36.310001,166.729996,119.870003,790.799988
2016-12-19,116.639999,63.619999,36.889999,166.679993,119.239998,794.200012
2016-12-20,116.949997,63.540001,37.209999,167.600006,119.089996,796.419983
2016-12-21,117.059998,63.540001,36.98,167.330002,119.040001,794.559998
2016-12-22,116.290001,63.549999,36.93,167.059998,117.400002,791.26001
2016-12-23,116.519997,63.240002,36.970001,166.710007,117.269997,789.909973
2016-12-27,117.260002,63.279999,37.07,167.139999,118.010002,791.549988
2016-12-28,116.760002,62.990002,36.630001,166.190002,116.919998,785.049988
2016-12-29,116.730003,62.900002,36.66,166.600006,116.349998,782.789978
2016-12-30,115.82,62.139999,36.27,165.990005,115.050003,771.820007
